resourceID,resourceCategory,resourceSubcategory,resourceTitle,resourceDescription,resourceUrl,resourceTags
ID0041,Transcriptomics,Preclinical use cases,Novel molecular characterization of colorectal primary tumors based on miRNAs,"microRNAs (miRNA) expression in colorectal (CR) primary tumours can facilitate a more precise molecular characterization. We identified and validated a miRNA profile associated with clinical and histopathological features that might be useful for patient stratification. In situ hybridization array using paraffin-embedded biopsies of CR primary tumours were used to screen 1436 miRNAs. 17 miRNAs were selected for validation by quantitative reverse transcription polymerase chain reaction (qRT-PCR) (n = 192) and were further correlated with clinical and histopathological data. We demonstrated that miRNAs associated to Colorectal Cancer (CRC) diagnosis age (over 50s and 60s) included miR-1-3p, miR-23b-3p, miR-27b-3p, miR-143-3p, miR-145-5p and miR-193b-5p. miR-23b-3p and miR-24-3p discriminated between Lynch Syndrome and sporadic CRC. miR-10a-5p, miR-20a-5p, miR-642b and Let-7a-5p were associated to stroma abundance. miR-642b and Let-7a-5p were associated with to peritumoral inflammation abundance. miR-1-3p, miR-143-3p and miR-145-5p correlated with mucinous component. miR-326 correlated with tumour location (right or left sided). miR-1-3p associated with tumour grade. miR-20a-5p, miR-193b-5p, miR-320a, miR-326 and miR-642b-3p associated to tumour stage and progression. Remarkably, we also demonstrated that miR-1-3p and miR-326 expression significantly associated with patient overall survival (OS). Hierarchical clustering and bioinformatics analysis indicated that selected miRNAs could re-classify the patients and work cooperatively, modulating common target genes involved in colorectal cancer key signalling pathways. In conclusion, molecular characterization of CR primary tumours based on miRNAs could lead to more accurate patient reclassification and may be useful for efficient patient management.",https://www.mdpi.com/2072-6694/11/3/346,"RT-qPCR, miRNAs, microRNA array profiling, preclinical use case, publication, qPCR, transcriptomics"
ID0042,Transcriptomics,Preclinical use cases,Biomarkers associated with regorafenib first-line treatment benefits in metastatic colorectal cancer patients: REFRAME molecular study,"Biomarkers able to predict response and toxicity upon regorafenib therapy for colorectal cancer (CRC) are critical for treatment choice, particularly relevant in fragile patients. Here, we validated for the first time 18 distinct microRNAs (miRNAs) detected in serum and primary tumor samples, three germline single-nucleotide polymorphisms (SNPs) in vascular endothelial growth factor (VEGF) and vascular endothelial growth factor receptor (VEGFR) genes, and low levels of Notch 1 expression in the primary tumor as predictive biomarkers of different features. Specifically, these markers were associated with a favorable response to treatment, disease stage, and relapse, as well as the appearance of asthenia. Therefore, these markers can be potentially useful biomarkers for patient stratification and for providing a more personalized and effective therapeutic strategy in fragile patients, while limiting the appearance of adverse effects.",https://www.mdpi.com/2072-6694/13/7/1710,"biomarkers, miRNAs, microRNA array profiling, preclinical use case, publication, qPCR, qRT-PCR, transcriptomics"
ID0043,Transcriptomics,Clinical use cases,Consensus guidelines for the validation of qRT-PCR assays in clinical research by the cardioRNA consortium,"Despite promising findings, quantitative PCR (qPCR)-based tests for RNA quantification have experienced serious limitations in their clinical application. The noticeable lack of technical standardization remains a huge obstacle in the translation of qPCR-based tests. The incorporation of qPCR-based tests into the clinic will benefit from guidelines for clinical research assay validation. This will ultimately impact the clinical management of the patient, including diagnosis, prognosis, prediction, monitoring of the therapeutic response, and evaluation of toxicity. However, clear assay validation protocols for biomarker investigation in clinical trials using molecular assays are currently lacking. Here, we will focus on the necessary steps, including sample acquisition, processing and storage, RNA purification, target selection, assay design, and experimental design, that need to be taken toward the appropriate validation of qRT-PCR assays in clinical research. These recommendations can fill the gap between research use only (RUO) and in vitro diagnostics (IVD). Our contribution provides a tool for basic and clinical research for the development of validated assays in the intermediate steps of biomarker research. These guidelines are based on the current understanding and consensus within the EU-CardioRNA COST Action consortium (www.cardiorna.eu). Their applicability encompasses all clinical areas.",https://www.cell.com/molecular-therapy-family/methods/fulltext/S2329-0501(22)00001-8?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2329050122000018%3Fshowall%3Dtrue,"biomarkers, clinical validation, guidelines, miRNAs, publication, qPCR, qRT-PCR, transcriptomics"
ID0044,Proteomics,Guidelines and best practices,Quality control in mass spectrometry-based proteomics,"Mass spectrometry is a highly complex analytical technique and mass spectrometry-based proteomics experiments can be subject to a large variability, which forms an obstacle to obtaining accurate and reproducible results. Therefore, a comprehensive and systematic approach to quality control is an essential requirement to inspire confidence in the generated results. A typical mass spectrometry experiment consists of multiple different phases including the sample preparation, liquid chromatography, mass spectrometry, and bioinformatics stages. We review potential sources of variability that can impact the results of a mass spectrometry experiment occurring in all of these steps, and we discuss how to monitor and remedy the negative influences on the experimental results. Furthermore, we describe how specialized quality control samples of varying sample complexity can be incorporated into the experimental workflow and how they can be used to rigorously assess detailed aspects of the instrument performance.",https://pubmed.ncbi.nlm.nih.gov/28802010/,"mass spectrometry, proteomics, publication, quality control"
ID0045,Proteomics,Reference material,A proteomics performance standard to support measurement quality in proteomics,"The emergence of MS-based proteomic platforms as a prominent technology utilized in biochemical and biomedical research has increased the need for high-quality MS measurements. To address this need, National Institute of Standards and Technology (NIST) reference material (RM) 8323 yeast protein extract is introduced as a proteomics quality control material for benchmarking the preanalytical and analytical performance of proteomics-based experimental workflows. RM 8323 yeast protein extract is based upon the well-characterized eukaryote Saccharomyces cerevisiae and can be utilized in the design and optimization of proteomics-based methodologies from sample preparation to data analysis. To demonstrate its utility as a proteomics quality control material, we coupled LC-MS/MS measurements of RM 8323 with the NIST MS Quality Control (MSQC) performance metrics to quantitatively assess the LC-MS/MS instrumentation parameters that influence measurement accuracy, repeatability, and reproducibility. Due to the complexity of the yeast proteome, we also demonstrate how NIST RM 8323, along with the NIST MSQC performance metrics, can be used in the evaluation and optimization of proteomics-based sample preparation methods.",https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/pmic.201100522,"mass spectrometry, proteomics, publication, quality assessment, quality control, workflow"
ID0046,Proteomics,Samples processing,Plasma proteome profiling to detect and avoid sample-related biases in biomarker studies,"Plasma and serum are rich sources of information regarding an individual's health state, and protein tests inform medical decision making. Despite major investments, few new biomarkers have reached the clinic. Mass spectrometry (MS)-based proteomics now allows highly specific and quantitative readout of the plasma proteome. Here, we employ Plasma Proteome Profiling to define quality marker panels to assess plasma samples and the likelihood that suggested biomarkers are instead artifacts related to sample handling and processing. We acquire deep reference proteomes of erythrocytes, platelets, plasma, and whole blood of 20 individuals (> 6,000 proteins), and compare serum and plasma proteomes. Based on spike-in experiments, we determine sample quality-associated proteins, many of which have been reported as biomarker candidates as revealed by a comprehensive literature survey. We provide sample preparation guidelines and an online resource ( www.plasmaproteomeprofiling.org) to assess overall sample-related bias in clinical studies and to prevent costly miss-assignment of biomarker candidates.",https://www.embopress.org/doi/full/10.15252/emmm.201910427,"biomarker, proteomics, publication, quality control, sample collection, study design"
ID0047,Proteomics,Samples processing,"A novel LC system embeds analytes in pre-formed gradients for rapid, ultra-robust proteomics","To further integrate mass spectrometry (MS)-based proteomics into biomedical research and especially into clinical settings, high throughput and robustness are essential requirements. They are largely met in high-flow rate chromatographic systems for small molecules but these are not sufficiently sensitive for proteomics applications. Here we describe a new concept that delivers on these requirements while maintaining the sensitivity of current nano-flow LC systems. Low-pressure pumps elute the sample from a disposable trap column, simultaneously forming a chromatographic gradient that is stored in a long storage loop. An auxiliary gradient creates an offset, ensuring the re-focusing of the peptides before the separation on the analytical column by a single high-pressure pump. This simplified design enables robust operation over thousands of sample injections. Furthermore, the steps between injections are performed in parallel, reducing overhead time to a few minutes and allowing analysis of more than 200 samples per day. From fractionated HeLa cell lysates, deep proteomes covering more than 130,000 sequence unique peptides and close to 10,000 proteins were rapidly acquired. Using this data as a library, we demonstrate quantitation of 5200 proteins in only 21 min. Thus, the new system - termed Evosep One - analyzes samples in an extremely robust and high throughput manner, without sacrificing in depth proteomics coverage.",https://www.mcponline.org/article/S1535-9476(20)32029-6/fulltext,"mass spectrometry, proteomics, protocol, publication, study design"
ID0048,Proteomics,Samples processing,Mass spectrometry-based plasma proteomics: considerations from sample collection to achieving translational data,"The proteomic analysis of human blood and blood-derived products (e.g., plasma) offers an attractive avenue to translate research progress from the laboratory into the clinic. However, due to its unique protein composition, performing proteomics assays with plasma is challenging. Plasma proteomics has regained interest due to recent technological advances, but challenges imposed by both complications inherent to studying human biology (e.g., interindividual variability) and analysis of biospecimens (e.g., sample variability), as well as technological limitations remain. As part of the Human Proteome Project (HPP), the Human Plasma Proteome Project (HPPP) brings together key aspects of the plasma proteomics pipeline. Here, we provide considerations and recommendations concerning study design, plasma collection, quality metrics, plasma processing workflows, mass spectrometry (MS) data acquisition, data processing, and bioinformatic analysis. With exciting opportunities in studying human health and disease though this plasma proteomics pipeline, a more informed analysis of human plasma will accelerate interest while enhancing possibilities for the incorporation of proteomics-scaled assays into clinical practice.",https://pubs.acs.org/doi/full/10.1021/acs.jproteome.9b00503,"mass spectrometry, proteomics, protocol, publication, sample collection, study design"
ID0049,Proteomics,Reference material,Characterization of a human liver reference material fit for proteomics applications,"The National Institute of Standards and Technology (NIST) is creating new, economical, qualitative reference materials and data for proteomics comparisons, benchmarking and harmonization. Here we describe a large dataset from shotgun proteomic analysis of RM 8461 Human Liver for Proteomics, a reference material being developed. Consensus identifications using multiple search engines and sample preparations demonstrate a homogeneous and fit-for-purpose material that can be incorporated into automated or manual sample preparation workflows, with the resulting data used to directly assess complete sample-to-data workflows and provide harmonization and benchmarking between laboratories and techniques. Data are available via PRIDE with identifier PXD013608.",https://www.nature.com/articles/s41597-019-0336-7,"mass spectrometry, proteomics, publication, reference material"
ID0050,Proteomics,Reference material,Evaluation of NCI-7 cell line panel as a reference material for clinical proteomics,"Reference materials are vital to benchmarking the reproducibility of clinical tests and essential for monitoring laboratory performance for clinical proteomics. The reference material utilized for mass spectrometric analysis of the human proteome would ideally contain enough proteins to be suitably representative of the human proteome, as well as exhibit a stable protein composition in different batches of sample regeneration. Previously, The Clinical Proteomic Tumor Analysis Consortium (CPTAC) utilized a PDX-derived comparative reference (CompRef) materials for the longitudinal assessment of proteomic performance; however, inherent drawbacks of PDX-derived material, including extended time needed to grow tumors and high level of expertise needed, have resulted in efforts to identify a new source of CompRef material. In this study, we examined the utility of using a panel of seven cancer cell lines, NCI-7 Cell Line Panel, as a reference material for mass spectrometric analysis of human proteome. Our results showed that not only is the NCI-7 material suitable for benchmarking laboratory sample preparation methods, but also NCI-7 sample generation is highly reproducible at both the global and phosphoprotein levels. In addition, the predicted genomic and experimental coverage of the NCI-7 proteome suggests the NCI-7 material may also have applications as a universal standard proteomic reference.",https://pubs.acs.org/doi/10.1021/acs.jproteome.8b00165,"clinical guidelines, mass spectrometry, proteomics, publication, reference material, samples"
ID0051,Proteomics,Technical and quality checks,Plasma proteome profiling to assess human health and disease,"Proteins in the circulatory system mirror an individual’s physiology. In daily clinical practice, protein levels are generally determined using single-protein immunoassays. High-throughput, quantitative analysis using mass-spectrometry-based proteomics of blood, plasma, and serum would be advantageous but is challenging because of the high dynamic range of protein abundances. Here, we introduce a rapid and robust “plasma proteome profiling” pipeline. This single-run shotgun proteomic workflow does not require protein depletion and enables quantitative analysis of hundreds of plasma proteomes from 1 μl single finger pricks with 20 min gradients. The apolipoprotein family, inflammatory markers such as C-reactive protein, gender-related proteins, and >40 FDA-approved biomarkers are reproducibly quantified (CV <20% with label-free quantification). Furthermore, we functionally interpret a 1,000-protein, quantitative plasma proteome obtained by simple peptide pre-fractionation. Plasma proteome profiling delivers an informative portrait of a person’s health state, and we envision its large-scale use in biomedicine.",https://www.sciencedirect.com/science/article/pii/S2405471216300722,"mass spectrometry, proteomics, protocol, publication"
ID0052,Proteomics,Protocols,Plasma sample preparation for HR-MS analysis,Protocol for processing plasma samples appropriately for High-Resolution Mass Spectrometry (HR-MS) proteomic analysis.,SampleAnalysisProtocols/IMTM_Proteomics/MOTBX_InternalProtocol_SamplePreparation_Plasma Analysis_20230627.pdf,"EATRIS-Plus project, proteomics, protocol, sample preparation"
ID0053,Proteomics,Protocols,HR-MS proteomic analysis with Thermo Orbitrap Fusion instrument setup,High-Performance Liquid Chromatography High-Resolution Mass Spectrometry (HPLC-HRMS) method of plasma proteome profiling.,SampleAnalysisProtocols/IMTM_Proteomics/MOTBX_InternalProtocol_LCMS_HCD_OT_PlasmaAnalysis_20230627.pdf,"EATRIS-Plus project, HR-MS analysis, proteomics, protocol"
ID0054,Proteomics,Protocols,Raw data search in proteomics,Protocol for raw data search using Proteome Discoverer (Thermo) including detail description of all parameters.,SampleAnalysisProtocols/IMTM_Proteomics/MOTBX_InternalProtocol_ProteinPeptideSearch_PlasmaAnalysis_20230627.pdf,"EATRIS-Plus project, data search, proteomics, protocol"
ID0055,Proteomics,Raw data processing,Skyline: open source tool for analysing mass spectrometer data,"A freely-available and open source Windows client application for building Selected Reaction Monitoring (SRM)/Multiple Reaction Monitoring (MRM), Parallel Reaction Monitoring (PRM), Data Independent Acquisition (DIA/SWATH) and DDA with MS1 quantitative methods and analysing the resulting mass spectrometer data. It aims to employ cutting-edge technologies for creating and iteratively refining targeted methods for large-scale quantitative mass spectrometry studies in life sciences.",https://skyline.ms/project/home/software/skyline/begin.view,"data processing, mass spectrometry, proteomics, software, toolbox"
ID0056,Proteomics,Tool,MaxQuant: Software tool for quantitative analysis of mass spectrometry-based proteomics data,"The MaxQuant software, with a suite of advanced algorithms and statistical methods, allows for accurate protein identification, quantification, and statistical analysis. The software incorporates state-of-the-art computational tools for data preprocessing, normalisation, and downstream analysis, enabling researchers to extract meaningful insights from their experiments. Additionally, MaxQuant supports a wide range of data types and offers customisable workflows to suit specific research needs. With its user-friendly interface and robust analytical capabilities, MaxQuant is an essential tool for scientists conducting proteomics research and striving to uncover the intricacies of complex biological systems. For detailed information see https://www.nature.com/articles/nprot.2016.136",https://www.maxquant.org/,"data search, proteomics"
ID0057,Proteomics,Tool,Perseus: Software tool for proteomic data analysis and visualization,"Perseus, available through the MaxQuant software suite, is a powerful computational tool designed for the analysis and visualisation of large-scale proteomics and omics datasets. It offers a comprehensive set of statistical and computational methods, enabling researchers to explore, preprocess, and analyse their data. With an intuitive user interface, Perseus facilitates data quality control, normalisation, and downstream analysis, empowering researchers to uncover valuable insights. It supports a wide range of data types and provides customisable workflows, allowing for flexible data analysis. Utilised extensively in proteomics research, Perseus serves as an invaluable resource for researchers aiming to gain a deeper understanding of complex biological data. For detailed information see https://www.nature.com/articles/nmeth.3901",https://maxquant.net/perseus/,"data analysis, proteomics, visualisation tool"
ID0058,Metabolomics,Guidelines and best practices,Reference materials for MS-based untargeted metabolomics and lipidomics: a review by the metabolomics quality assurance and quality control consortium (mQACC),"The metabolomics quality assurance and quality control consortium (mQACC) is enabling the identification, development, prioritization, and promotion of suitable reference materials (RMs) to be used in quality assurance (QA) and quality control (QC) for untargeted metabolomics research. This review aims to highlight current RMs, and methodologies used within untargeted metabolomics and lipidomics communities to ensure standardization of results obtained from data analysis, interpretation and cross-study, and cross laboratory comparisons. The essence of the aims is also applicable to other ‘omics areas that generate high dimensional data. The potential for game-changing biochemical discoveries through mass spectrometry-based (MS) untargeted metabolomics and lipidomics are predicated on the evolution of more confident qualitative (and eventually quantitative) results from research laboratories. RMs are thus critical QC tools to be able to assure standardization, comparability, repeatability and reproducibility for untargeted data analysis, interpretation, to compare data within and across studies and across multiple laboratories. Standard operating procedures (SOPs) that promote, describe and exemplify the use of RMs will also improve QC for the metabolomics and lipidomics communities. The application of RMs described in this review may significantly improve data quality to support metabolomics and lipidomics research. The continued development and deployment of new RMs, together with interlaboratory studies and educational outreach and training, will further promote sound QA practices in the community.",https://link.springer.com/article/10.1007/s11306-021-01848-6,"lipidomics, mass spectrometry, metabolomics, publication, quality assurance, quality control, reference materials"
ID0059,Metabolomics,Guidelines and best practices,Dissemination and analysis of the quality assurance (QA) and quality control (QC) practices of LC–MS based untargeted metabolomics practitioners,"The metabolomics quality assurance and quality control consortium (mQACC) evolved from the recognized need for a community-wide consensus on improving and systematizing quality assurance (QA) and quality control (QC) practices for untargeted metabolomics. Objectives: In this work, we sought to identify and share the common and divergent QA and QC practices amongst mQACC members and collaborators who use liquid chromatography-mass spectrometry (LC–MS) in untargeted metabolomics. All authors voluntarily participated in this collaborative research project by providing the details of and insights into the QA and QC practices used in their laboratories. This sharing was enabled via a six-page questionnaire composed of over 120 questions and comment fields which was developed as part of this work and has proved the basis for ongoing mQACC outreach: For QA, many laboratories reported documenting maintenance, calibration and tuning (82%); having established data storage and archival processes (71%); depositing data in public repositories (55%); having standard operating procedures (SOPs) in place for all laboratory processes (68%) and training staff on laboratory processes (55%). For QC, universal practices included using system suitability procedures (100%) and using a robust system of identification (Metabolomics Standards Initiative level 1 identification standards) for at least some of the detected compounds. Most laboratories used QC samples (>86%); used internal standards (91%); used a designated analytical acquisition template with randomized experimental samples (91%); and manually reviewed peak integration following data acquisition (86%). A minority of laboratories included technical replicates of experimental samples in their workflows (36%). Although the 23 contributors were researchers with diverse and international backgrounds from academia, industry and government, they are not necessarily representative of the worldwide pool of practitioners due to the recruitment method for participants and its voluntary nature. However, both questionnaire and the findings presented here have already informed and led other data gathering efforts by mQACC at conferences and other outreach activities and will continue to evolve in order to guide discussions for recommendations of best practices within the community and to establish internationally agreed upon reporting standards. We very much welcome further feedback from readers of this article.",https://link.springer.com/article/10.1007/s11306-020-01728-5,"mass spectrometry, metabolomics, publication, quality assurance, quality control, reference materials"
ID0060,Metabolomics,Guidelines and best practices,Quality assurance and quality control reporting in untargeted metabolic phenotyping: mQACC recommendations for analytical quality management,"Demonstrating that the data produced in metabolic phenotyping investigations (metabolomics/metabonomics) is of good quality is increasingly seen as a key factor in gaining acceptance for the results of such studies. The use of established quality control (QC) protocols, including appropriate QC samples, is an important and evolving aspect of this process. However, inadequate or incorrect reporting of the QA/QC procedures followed in the study may lead to misinterpretation or overemphasis of the findings and prevent future metanalysis of the body of work. The aim of this guidance is to provide researchers with a framework that encourages them to describe quality assessment and quality control procedures and outcomes in mass spectrometry and nuclear magnetic resonance spectros copy-based methods in untargeted metabolomics, with a focus on reporting on QC samples in sufficient detail for them to be understood, trusted and replicated. There is no intent to be proscriptive with regard to analytical best practices; rather, guidance for reporting QA/QC procedures is suggested. A template that can be completed as studies progress to ensure that relevant data is collected, and further documents, are provided as on-line resources. Multiple topics should be considered when reporting QA/QC protoco ls and outcomes for metabolic phenotyping data. Coverage should include the role(s), sources, types, preparation and uses of the QC materials and samples generally employed in the generation of metabolomic data. Details such as sample matrices and sample preparation, the use of test mixtures and system suitability tests, blanks and technique-specific factors are considered and methods for reporting are discussed, including the importance of reporting the acceptance criteria for the QCs. To this end, the reporting of the QC samples and results are considered at two levels of detail: “minimal” and “best reporting practice” levels.",https://link.springer.com/article/10.1007/s11306-022-01926-3,"metabolomics, publication, quality assurance, quality control, reference materials"
ID0061,Metabolomics,Protocols,Protocol for performing targeted metabolomics,Protocol includes instructions for sample preparation and analysis of amino acids and acylcarnitines from human plasma by approach of targeted metabolomics utilising UPLC ESI-MS/MS.,SampleAnalysisProtocols/RUMC_metabolomics_targeted/MOTBX_InternalProtocol_Appendix4_TargetedMetabolomics.pdf,"EATRIS-Plus project, metabolomics, targeted metabolomics"
ID0062,Metabolomics,Protocols,Protocol for performing semitargeted metabolomics (Newborn screening application),"Protocol for sample preparation and LCMS analyses of human plasma samples, performing semitargeted metabolomics approach (data are acquired in full-scan range (QTOF) and specific focus on several metabolite groups associated with inborn errors of metabolism (IEMs))",SampleAnalysisProtocols/RUMC_metabolomics_targeted/MOTBX_InternalProtocol_NextGeneration_MetabolomicsScreening.pdf,"EATRIS-Plus project, metabolites, metabolomics, small molecules, untargeted lipidomics, untargeted metabolomics"
ID0063,Metabolomics,Raw data processing,MZmine 3-open source code repository,"Provides a user-friendly, flexible and easily extendable software with a complete set of modules covering the entire MS data analysis workflow, with the main focus on LC-MS data. It is based on the original MZmine toolbox described in the 2006 Bioinformatics publication (MZmine: toolbox for processing and visualization of mass spectrometry based molecular profile data, https://academic.oup.com/bioinformatics/article/22/5/634/206500?login=false), but has been completely redesigned and rewritten since then.",https://github.com/mzmine/mzmine3,"MZmine, data processing, metabolomics, software"
ID0064,Metabolomics,Clinical use cases,Next-generation metabolic screening: targeted and untargeted metabolomics for the diagnosis of inborn errors of metabolism in individual patients.,"The implementation of whole-exome sequencing in clinical diagnostics has generated a need for functional evaluation of genetic variants. In the field of inborn errors of metabolism (IEM), a diverse spectrum of targeted biochemical assays is employed to analyze a limited amount of metabolites. We now present a single-platform, high-resolution liquid chromatography quadrupole time of flight (LC-QTOF) method that can be applied for holistic metabolic profiling in plasma of individual IEM-suspected patients. This method, which we termed ""next-generation metabolic screening"" (NGMS), can detect >10,000 features in each sample. In the NGMS workflow, features identified in patient and control samples are aligned using the ""various forms of chromatography mass spectrometry (XCMS)"" software package. Subsequently, all features are annotated using the Human Metabolome Database, and statistical testing is performed to identify significantly perturbed metabolite concentrations in a patient sample compared with controls. We propose three main modalities to analyze complex, untargeted metabolomics data. First, a targeted evaluation can be done based on identified genetic variants of uncertain significance in metabolic pathways. Second, we developed a panel of IEM-related metabolites to filter untargeted metabolomics data. Based on this IEM-panel approach, we provided the correct diagnosis for 42 of 46 IEMs. As a last modality, metabolomics data can be analyzed in an untargeted setting, which we term ""open the metabolome"" analysis. This approach identifies potential novel biomarkers in known IEMs and leads to identification of biomarkers for as yet unknown IEMs. We are convinced that NGMS is the way forward in laboratory diagnostics of IEMs. In summary, this article highligts next-generation metabolic screening using targeted and untargeted metabolomics for the diagnosis of inborn errors of metabolism in individual patients.",https://doi.org/10.1007/s10545-017-0131-6,"NGS, biomarkers, metabolomics, protocol, publication, whole-exome sequencing"
ID0065,Omics data management and analysis,FAIR omics data,"FAIR Principles: GO FAIR Initiative, enabling global open science","This website of GO FAIR gives an overview of the FAIR (Findable, Accessible, Interoperable, Reusable) data principles including specific guidelines and practical examples.",https://www.go-fair.org/fair-principles/,"FAIR principles, guidelines"
ID0066,Omics data management and analysis,FAIR omics data,X-omics: FAIR data stewardship and tool development in X-omics,This document describes the FAIR data stewardship and tool development guidelines of the Netherlands X-omics Initiative.,https://www.x-omics.nl/pdfs/FAIR_policies_website_v3.pdf,"FAIR principles, guidelines"
ID0067,Omics data management and analysis,FAIR omics data,EATRIS-Plus ISA: Creation of ISA metadata structure for multi-omics study,EATRIS-Plus project template for FAIRification of multi-omics metadata. This GitHub repository contains a Jupyter notebook to create Investigation/Study/Assay (ISA) metadata in ISA-Tab and ISA-JSON format following the metadata structure used for the EATRIS-Plus multi-omics reference cohort.,https://github.com/EATRIS-Plus/eatris-plus-isa,"EATRIS-Plus project, metadata"
ID0068,Omics data management and analysis,FAIR omics data,ISA framework: Open source ISA metadata framework,"This website is home to Investigation/Study/Assay (ISA) tools, the open-source ISA metadata framework, abstract model and software suite that supports capturing metadata of multi-omics experiments and is supported by several EMBL-EBI data archives.",https://isa-tools.org/,"metadata, metadata standard, multi-omics"
ID0069,Omics data management and analysis,FAIR omics data,"FAIRsharing.org: A registry for data standards, databases, and policies","FAIRsharing is a registry for community-developed standards including data or metadata standards and ontologies, databases, and policies. It provies an extensive search functionality to search by omics type, level of curation or support by communities.",https://fairsharing.org/,"data standards, metadata standards"
ID0070,Omics data management and analysis,FAIR omics data,FAIR Cookbook: Empowering researchers with FAIR Data Practices,"FAIR Cookbook is an online resource for the Life Sciences with recipes that help you to make and keep data Findable, Accessible, Interoperable and Reusable (FAIR). It provides a comprehensive introduction to FAIR topics and technologies and offers tutorials for implementing FAIR practices.",https://faircookbook.elixir-europe.org/content/home.html,"metadata, tutorials"
ID0071,Omics data management and analysis,FAIR omics data,PhenotypeDatabase: Advancing phenotype data management and analysis through Open Collaboration,This repository provides the source code of phenotype database application. It was developed for storing biological study data and metadata and provides an interactive and graphical user interface. Collections of previously used contology terms can be cashed to promote reuse of term across data sets.,https://github.com/PhenotypeFoundation/PhenotypeDatabase,"metadata, study management"
ID0072,Omics data management and analysis,FAIR omics data,X-omics FAIRDataCube: Enabling FAIR and scalable management of multi-omics data,"FAIR Data Cube is a collection of tools and services to facilitate multi-omics data FAIRification, metadata registration, metadata searches, and federated data analysis. It is being developed by the Netherlands X-omics Initiative.",https://github.com/Xomics/FAIRDataCube,"metadata, multi-omics, study management"
ID0073,Omics data management and analysis,FAIR omics data,Molgenis: Empowering Genomic Research and Collaboration,MOLGENIS is a modular web application for scientific data. The modular platform allows to capture data and metadata for multi-omcis studies and is highly customisable. It is developed by the Genomics Coordination Center (GCC) of the University Medical Center Groningen (NL).,https://www.molgenis.org/,"metadata, study management"
ID0074,Omics data management and analysis,FAIR omics data,RDMkit- The research data management toolkit for life sciences,"The RDMkit collects best practices and guidelines to help making data FAIR (Findable, Accessible, Interoperable and Reusable). In addition to a comperehensive introduction to research data lifecycle and FAIR management, curated collections offer solutions and tool collection for various domains or data manegment tasks.",https://rdmkit.elixir-europe.org/,"services registry, tool registry"
ID0075,Omics data management and analysis,FAIR omics data,Phenopackets template: EATRIS-Plus FAIRification template and workflows,EATRIS-Plus project template for FAIRification of phenotype data. The GitHub repository contains a Jupyter notebook to capture phenotype information with the GA4GH Phenopackets standard as used for the EATRIS-Plus multi-omics reference cohort. A software container is provided to run the notebook.,https://github.com/EATRIS-Plus/phenopackets_template,"EATRIS-Plus project, phenopackets, phenotype, template"
ID0076,Omics data management and analysis,Multi-omics analysis,The European Galaxy Server: Empowering bioinformatics research with accessible tools and workflows,A web-based platform for biomedical data analysis. Galaxy provides a collection of data analysis tools and pipelines. Analyses can be run on public Galaxy servers or servers can be deployed locally.,https://usegalaxy.eu/,"analysis platform, workflow registry"
ID0077,Omics data management and analysis,Multi-omics analysis,Bioinformatics software registry: bio.tools,"Open source and open data registry of bioinformatics software, databases, and services annotated with precise ontology-based descriptions. This allows to search the bio.tools registry by keywords to find, e.g., methods for multi-omics data analysis. Tools can be added and edited by the community.",https://bio.tools/,"bioinformatics, data archives, multi-omics, software registry"
ID0078,Omics data management and analysis,Multi-omics analysis,Framework for community-curated bioinformatics pipelines: nf-core,Nf-core is a community collection of analysis pipelines using Nextflow. This curated collection of computational workflows includes many omics preprocessing workflows that have been widely adopted in the community. Several workflows were also applied in the EATRIS-Plus project.,https://nf-co.re/,workflow registry
ID0079,Omics data management and analysis,Multi-omics analysis,WorkflowHub: Registry for scientific computational workflows,Workflowhub is a registry for scientific computational workflows designed around FAIR principles. It allows sharing analysis workflows packaged as Research Object (RO) Crates with direct links to the source code on GitHub. RO-Crates are annoted with metadata about the workflows which faciliates findability of workflows. Workflowhub is sponsored by multiple European initiatives including EOSC-Life and ELIXIR.,https://workflowhub.eu/,workflow registry
ID0080,Omics data management and analysis,FAIR omics data,Report Describing EATRIS-Plus FAIRification Template and Workflows,"The report  describes the EATRIS-Plus FAIRification strategy underpining the development of this resource - the multi-omics toolbox (MOTBX). Developed as part of the EATRIS-Plus project, the aim is to provide researchers with a comprehensive understanding of molecular profiles in personalised medicine. The report focuses on implementing FAIR (Findability, Accessibility, Interoperability, and Reusability) principles to ensure reproducibility and reusability of multi-omics cohort data. The EATRIS-Plus FAIRification process is described, including the use of standards, formats, and tools. The report emphasises the adoption of the ISA metadata framework for capturing experimental metadata along with omics-specific data standards. These files adhere to reporting guidelines for individual omics types and facilitate integration of multi-omics data in personalised health and medicine research projects.",https://zenodo.org/record/8069891,"EATRIS-Plus project, FAIR principles, analysis workflows, metadata, metadata standard, multi-omics"
ID0081,Internal Quality Control,Reference material,Reference dataset: DNASeq,"SEQC2: somatic mutation reference dataset, https://pubmed.ncbi.nlm.nih.gov/34753956/",ftp://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/seqc/Somatic_Mutation_WG,"DNAseq, NGS, epigenomics, genomics, reference dataset, sequencing, somatic mutation"
